列名,description,required,example,format,備考
name,表示に用いる名前の日本語表記,True,nadare学習済みRVC音声モデル,str,
speaker,声優名,True,nadare,str,
provider,提供者名,False,nadare,str,配布者のサークル名など
destribution_type,"配布物の形式",True,model,bool,"model,voiceから選択"
model_type,モデルの形式,True,RVC,category,しばらくはRVCのみサポート
client,学習に用いたクライアント,True,original-RVC,"original-RVCとddPn08-RVCから選択"
encoder,話者によらない特徴量の抽出に用いたモデル,True,hubert_base,category,"hubert_base,japanese_hubert_base,contentvecから選択"
decoder_pretrain,事前学習に用いたモデル,False,include,str,"事前学習に用いたモデルについての表記"
price,"価格(日本円)",True,100,int,0以上の整数値
license,"ライセンス形式",False,MIT,str,
personal_use,"個人利用可能か",True,True,bool,"学習したモデルについて個人利用は可能か、原則可能のみ登録"
non_commercial_use,"非商用利用可能か",True,True,bool,"学習したモデルについて非商用の利用は可能か"
commercial_use,"商用利用可能か",True,True,bool,"学習したモデルについて商用の利用は可能か"
destrubution_url_1,"配布url1",True,"hoge",str,
destrubution_url_2,"配布url2",False,"hoge",str,
destrubution_url_3,"配布url3",False,"hoge",str,
voice_sample_url_1,"サンプルボイスのurl",False,"hoge",str,
model_id,モデルID,False,0,int,モデルの連番・別途付与
speaker_id,話者ID,False,0,int,話者の連番・別途付与
